ir_L,ir_R,degree
0.0,0.0,0.0
2.8,15.1,55.42
2.8,15.2,55.42
2.6,15.4,55.4
2.6,15.6,52.0
2.8,15.5,67.32
2.8,15.4,73.6
2.8,16.0,73.61
2.8,16.2,73.61
2.9,16.5,73.63
3.1,17.3,73.6
3.4,17.8,73.56
4.2,18.7,65.65
5.6,19.4,55.6
9.7,20.2,52.86
13.0,20.3,45.64
16.2,20.6,45.49
22.1,20.7,45.48
26.6,21.2,45.51
28.6,21.3,41.46
29.9,21.4,38.83
27.4,21.5,38.06
25.5,21.6,37.55
23.4,21.4,37.54
19.3,21.2,38.53
16.9,21.0,45.41
15.6,20.7,49.17
16.1,20.7,49.2
15.8,20.7,50.52
15.3,20.6,50.57
17.1,20.5,50.48
20.4,20.6,50.51
23.2,20.6,50.53
22.9,20.4,50.59
20.3,20.3,50.5
17.4,20.2,50.5
14.1,20.1,50.48
13.6,19.9,50.51
15.3,19.9,50.54
18.3,19.8,50.53
23.5,19.7,50.53
24.9,19.8,50.51
22.3,19.6,50.5
18.9,19.5,50.56
16.1,19.3,50.56
15.2,19.1,50.47
16.9,18.9,50.5
23.0,18.9,50.49
25.7,18.7,50.51
26.4,18.6,50.55
26.0,17.6,50.49
28.5,17.1,50.53
33.5,15.0,50.51
40.2,12.9,50.53
41.7,10.0,50.5
41.4,8.5,50.5
40.5,8.4,50.52
40.9,9.4,50.54
41.4,11.0,50.54
41.0,13.3,50.56
41.2,14.4,50.54
42.5,15.6,50.59
41.5,16.1,50.77
41.1,16.4,50.71
42.1,16.4,50.66
41.8,16.5,50.69
42.4,16.5,50.67
42.6,16.2,50.67
43.5,15.6,50.71
43.7,14.9,50.66
42.7,14.2,50.66
42.3,13.8,50.69
41.8,13.6,50.66
41.4,13.6,50.68
38.4,13.7,50.71
35.9,14.3,58.06
33.9,14.7,58.09
34.0,15.8,58.15
33.2,16.3,59.84
33.0,16.7,62.72
31.8,17.7,65.02
31.2,18.2,65.05
31.2,19.0,64.99
30.7,19.2,64.9
25.1,18.8,62.55
18.9,18.2,60.06
10.0,16.8,56.86
7.0,15.9,54.45
4.6,16.3,54.43
4.1,17.4,54.46
3.5,16.7,54.46
3.4,16.0,54.46
3.2,16.2,54.29
3.2,16.9,52.13
3.1,17.1,52.14
3.0,16.0,50.93
3.1,15.6,49.19
3.0,16.5,47.76
3.0,16.5,45.31
2.9,16.5,43.61
2.9,14.6,41.25
2.9,13.8,40.26
2.9,13.6,35.72
2.9,13.3,35.14
2.8,12.9,35.22
2.7,12.6,35.17
2.8,12.2,35.11
2.8,11.5,35.22
2.8,10.9,33.87
2.7,9.9,33.99
2.7,9.4,33.97
2.7,8.3,33.87
2.8,7.4,33.91
2.8,6.0,31.28
2.6,5.5,28.36
2.7,4.7,28.34
2.7,4.3,28.47
2.8,3.9,28.4
2.7,4.1,28.43
2.6,4.5,28.35
2.7,4.6,25.68
2.8,4.4,24.3
3.0,4.1,22.23
2.9,4.2,21.7
3.2,4.9,21.6
3.5,6.3,20.69
3.9,6.8,20.65
4.2,7.7,20.62
4.6,8.5,20.5
5.1,9.7,19.76
6.0,11.5,19.79
6.7,11.2,19.66
7.4,8.0,19.4
7.7,7.0,19.48
8.5,6.8,19.53
9.0,6.5,19.61
9.8,7.5,19.57
11.5,14.4,19.71
12.8,19.9,20.41
15.7,19.2,29.79
14.8,16.8,44.17
15.4,16.6,44.74
15.1,17.9,44.74
14.9,19.0,44.73
15.0,20.2,44.7
14.9,20.5,44.73
14.7,21.2,44.76
14.6,21.6,44.72
14.7,21.8,44.72
14.6,21.6,43.23
14.7,21.6,38.1
14.6,21.8,34.94
14.1,22.0,34.72
14.5,22.1,36.45
14.9,21.6,38.04
15.6,21.2,37.97
15.2,20.9,37.87
16.3,20.7,37.84
16.2,20.4,37.82
19.3,19.7,37.9
13.1,19.3,37.8
11.7,18.9,37.8
9.9,18.7,37.94
8.8,18.5,37.84
6.8,18.0,37.75
5.4,17.8,36.58
4.2,17.9,36.01
3.6,20.0,28.5
3.1,19.8,23.19
3.3,17.9,21.81
3.3,15.9,20.9
2.8,14.5,19.68
2.7,13.2,19.57
3.0,12.1,19.58
3.2,10.3,19.54
3.0,9.3,17.96
3.3,7.8,15.57
3.6,7.1,15.03
4.2,6.0,15.0
4.5,5.5,15.0
4.5,4.7,15.08
5.1,4.2,15.05
5.6,4.2,15.2
6.0,5.0,15.09
6.1,6.1,15.07
7.0,7.6,15.04
7.6,11.1,15.15
8.8,12.5,15.05
9.7,14.3,15.03
12.3,15.0,15.09
14.2,16.0,15.17
18.8,16.3,15.03
22.1,17.0,15.0
22.5,17.1,15.07
19.3,17.2,15.06
17.1,16.8,15.12
18.6,16.5,15.14
21.2,15.6,15.02
23.7,14.7,39.37
26.9,13.4,58.77
38.0,13.2,61.94
51.8,13.2,61.93
50.2,13.1,61.94
32.1,13.3,61.93
24.8,13.2,61.93
26.1,13.2,61.94
32.5,13.2,61.93
45.5,13.1,61.95
56.8,12.8,61.95
45.5,12.6,61.94
44.3,12.2,61.94
62.9,11.5,61.93
76.0,11.2,61.95
77.6,10.9,61.91
77.0,11.1,61.92
76.1,11.3,61.95
74.8,11.8,62.01
74.7,12.0,61.93
73.0,12.3,61.95
72.3,12.6,61.92
69.7,12.8,61.95
69.6,12.9,61.93
69.3,13.1,61.92
68.3,13.2,61.95
67.8,13.4,61.92
66.7,13.5,61.94
66.5,13.6,61.93
65.7,13.6,61.93
65.7,13.9,61.92
63.6,14.0,61.9
61.9,14.2,61.89
57.6,14.2,61.9
51.3,14.6,61.95
45.4,14.6,61.92
42.6,14.8,61.9
41.5,14.9,61.89
40.1,15.2,61.9
38.8,15.1,61.92
36.4,15.2,61.89
34.0,15.4,62.01
36.2,15.5,61.87
38.5,15.9,61.87
38.0,16.0,61.84
33.5,16.5,61.92
25.5,17.1,61.85
17.0,17.5,61.86
7.0,17.8,61.86
4.6,18.3,61.83
3.6,18.7,61.84
3.3,19.5,61.87
3.2,20.1,61.85
3.2,20.4,61.86
3.1,20.6,61.85
2.9,21.4,60.27
2.8,21.4,55.91
2.7,21.7,50.81
2.7,21.2,50.61
2.8,21.0,49.19
2.7,21.2,46.98
2.5,21.4,44.19
2.5,21.5,36.52
2.6,21.5,35.42
2.6,21.1,30.72
2.6,20.9,30.27
2.6,20.5,30.13
2.6,20.1,30.13
2.7,19.4,19.21
2.8,18.5,18.36
2.6,16.7,18.43
2.7,14.0,18.39
2.8,9.1,18.39
2.8,7.1,18.39
2.8,5.9,18.37
2.8,4.8,18.51
2.7,5.4,18.41
2.9,6.0,18.5
3.0,5.4,18.35
3.3,4.5,18.46
3.3,4.6,18.44
3.9,5.5,18.47
4.2,7.2,18.42
4.7,8.4,18.4
5.1,10.5,18.51
5.6,11.8,18.36
5.6,13.4,18.5
6.3,16.0,18.38
6.7,17.7,18.39
7.3,20.2,18.34
7.5,21.5,18.37
8.4,23.5,18.44
8.9,23.8,18.37
9.6,25.0,18.4
11.1,25.0,18.34
12.4,25.0,18.57
14.2,23.3,28.27
13.7,16.4,39.4
14.9,17.5,39.4
15.5,21.4,39.4
16.3,23.7,39.4
16.6,25.4,30.87
17.0,26.1,25.87
17.8,25.3,25.94
18.8,24.1,25.81
19.0,22.9,25.83
20.2,21.5,28.7
21.0,19.3,29.67
22.4,15.5,29.59
23.1,13.7,30.3
